src_ip,dst_ip,src_port, Destination Port,protocol,timestamp, Flow Duration,flow_byts_s,flow_pkts_s,fwd_pkts_s, Bwd Packets/s,tot_fwd_pkts,tot_bwd_pkts,Total Length of Fwd Packets,totlen_bwd_pkts,fwd_pkt_len_max, Fwd Packet Length Min, Fwd Packet Length Mean,fwd_pkt_len_std,bwd_pkt_len_max, Bwd Packet Length Min,bwd_pkt_len_mean, Bwd Packet Length Std,pkt_len_max, Min Packet Length,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min, act_data_pkt_fwd, Flow IAT Mean, Flow IAT Max,flow_iat_min,flow_iat_std,Fwd IAT Total,fwd_iat_max,fwd_iat_min,fwd_iat_mean, Fwd IAT Std,Bwd IAT Total, Bwd IAT Max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt, PSH Flag Count, ACK Flag Count, URG Flag Count,ece_flag_cnt, Down/Up Ratio,pkt_size_avg,Init_Win_bytes_forward, Init_Win_bytes_backward,active_max,active_min,active_mean,active_std,idle_max, Idle Min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg, min_seg_size_forward,bwd_seg_size_avg,cwe_flag_count, Subflow Fwd Bytes,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.43.3,192.168.43.1,54021,53,17,2021-05-31 22:19:00,2636.6710662841797,73577.62691020888,758.5322361877204,379.2661180938602,379.2661180938602,1,1,97,97,97.0,97.0,97.0,0.0,97.0,97.0,97.0,0.0,97,97,97.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0,1,1,97,97,Benign
192.168.43.3,111.221.29.254,40076,443,6,2021-05-31 22:19:00,1220634.937286377,6277.88027846868,17.204161013681624,9.830949150675213,7.37321186300641,12,9,3034,4629,1414.0,54.0,252.83333333333334,384.841489735998,1414.0,54.0,514.3333333333334,576.1458148767549,1414,54,364.9047619047619,493.5976677379786,243638.65759637192,240,180,20,5,61031.74686431885,250401.73530578613,23.365020751953125,96694.33743371477,1018568.5157775879,307697.2961425781,29.802322387695312,92597.13779796254,121589.33417057816,990088.939666748,251145.601272583,91.31431579589844,123761.1174583435,106067.16008123296,0,0,0,0,1,0,0,0,0,0,0,0.75,364.9047619047619,64240,2050,250369.54879760742,3507.375717163086,187253.85665893555,92584.05867894668,249780.41648864746,6650.9246826171875,188495.95387776694,83298.69133257603,0.0,0.0,0.0,0.0,0.0,0.0,252.83333333333334,514.3333333333334,0,12,9,3034,4629,Benign
192.168.43.3,192.168.43.1,41610,53,17,2021-05-31 22:19:00,2436.399459838867,79625.69488208239,820.8834523926021,410.44172619630103,410.44172619630103,1,1,97,97,97.0,97.0,97.0,0.0,97.0,97.0,97.0,0.0,97,97,97.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0,1,1,97,97,Benign
192.168.43.3,111.221.29.254,40078,443,6,2021-05-31 22:19:00,1159141.0636901855,6802.45075167788,18.116863130657638,10.352493217518651,7.764369913138988,12,9,3255,4630,1414.0,54.0,271.25,395.45967451393403,1414.0,54.0,514.4444444444445,576.1176791653886,1414,54,375.4761904761905,496.08136996220964,246096.72562358272,240,180,20,5,57957.05318450928,260067.22450256348,26.941299438476562,92787.20998491399,954338.3121490479,261356.83059692383,26.941299438476562,86758.02837718617,109117.67479012831,958589.3154144287,261148.69117736816,56.743621826171875,119823.66442680359,104625.56724260867,0,0,0,0,1,0,0,0,0,0,0,0.75,375.4761904761905,64240,1025,260039.8063659668,7522.344589233398,151498.99323781332,98273.0206073985,259024.62005615234,9420.633316040039,159105.70962088447,92242.39645266958,0.0,0.0,0.0,0.0,0.0,0.0,271.25,514.4444444444445,0,12,9,3255,4630,Benign
192.168.43.3,192.168.43.1,47877,53,17,2021-05-31 22:19:03,55702.68630981445,3554.5861989265263,35.90491110026794,17.95245555013397,17.95245555013397,1,1,79,119,79.0,79.0,79.0,0.0,119.0,119.0,119.0,0.0,119,79,99.0,20.0,400.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,99.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,119.0,0,1,1,79,119,Benign
192.168.43.3,192.168.43.1,44108,53,17,2021-05-31 22:19:03,60794.830322265625,3454.2410742297798,32.89753404028362,16.44876702014181,16.44876702014181,1,1,79,131,79.0,79.0,79.0,0.0,131.0,131.0,131.0,0.0,131,79,105.0,26.0,676.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,105.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,131.0,0,1,1,79,131,Benign
152.199.19.160,192.168.43.3,443,55154,6,2021-05-31 22:19:04,77980.04150390625,9964.088054006457,128.2379414930046,64.1189707465023,64.1189707465023,5,5,411,366,123.0,66.0,82.2,22.417850030723287,78.0,66.0,73.2,5.878775382679627,123,66,77.7,16.994410845922257,288.81,100,100,20,2,8664.449055989584,61288.83361816406,16.689300537109375,19256.945725719754,77980.04150390625,61712.98027038574,54.59785461425781,19495.010375976562,25229.083027893765,61879.15802001953,61323.16589355469,62.70408630371094,15469.789505004883,26473.785917187226,0,0,0,0,1,0,0,0,0,0,0,1.0,77.7,136,501,61254.50134277344,399.3511199951172,30826.926231384277,30427.57511138916,60889.482498168945,15985.250473022461,38437.3664855957,22452.116012573242,0.0,0.0,0.0,0.0,0.0,0.0,82.2,73.2,0,5,5,411,366,Benign
192.168.43.3,192.168.43.1,51202,53,17,2021-05-31 22:19:05,110333.91952514648,2311.1659687017855,18.12679191138655,9.063395955693275,9.063395955693275,1,1,97,158,97.0,97.0,97.0,0.0,158.0,158.0,158.0,0.0,158,97,127.5,30.5,930.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,127.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,158.0,0,1,1,97,158,Benign
192.168.43.3,111.221.29.254,40080,443,6,2021-05-31 22:19:05,1152555.9425354004,6549.790531983774,18.220373714619054,10.41164212263946,7.808731591979595,12,9,2920,4629,1414.0,54.0,243.33333333333334,381.7231399267741,1414.0,54.0,514.3333333333334,576.1458148767549,1414,54,359.4761904761905,493.46892786318364,243511.58276643994,240,180,20,5,57627.79712677002,263760.5667114258,30.279159545898438,96446.89941541999,931674.7188568115,263828.2775878906,38.14697265625,84697.7017142556,110947.6407396438,960901.0219573975,265278.3393859863,1948.8334655761719,120112.62774467468,113760.36066159279,0,0,0,0,1,0,0,0,0,0,0,0.75,359.4761904761905,64240,2050,263722.41973876953,3620.624542236328,179867.74444580078,91532.92658730503,262318.1343078613,5032.777786254883,186378.5187403361,84095.1134563745,0.0,0.0,0.0,0.0,0.0,0.0,243.33333333333334,514.3333333333334,0,12,9,2920,4629,Benign
192.168.43.3,192.168.43.1,56083,53,17,2021-05-31 22:19:07,1836.7767333984375,105619.80477673936,1088.8639667705088,544.4319833852544,544.4319833852544,1,1,97,97,97.0,97.0,97.0,0.0,97.0,97.0,97.0,0.0,97,97,97.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0,1,1,97,97,Benign
192.168.43.3,111.221.29.254,40094,443,6,2021-05-31 22:19:07,1190171.718597412,6289.008454024506,17.64451269666194,10.082578683806823,7.561934012855117,12,9,2856,4629,1414.0,54.0,238.0,382.49139423870264,1414.0,54.0,514.3333333333334,576.1458148767549,1414,54,356.42857142857144,494.5320608248503,244561.95918367346,240,180,20,5,59508.585929870605,265440.2256011963,26.702880859375,101899.43197075948,951962.947845459,267608.4041595459,39.33906555175781,86542.086167769,113094.74084829337,960132.1220397949,272222.75733947754,47.92213439941406,120016.51525497437,120468.98490556868,0,0,0,0,1,0,0,0,0,0,0,0.75,356.42857142857144,64240,2050,265089.0350341797,6610.15510559082,187461.9483947754,94216.56495593848,265400.88653564453,6555.795669555664,195911.76509857178,88302.11168804101,0.0,0.0,0.0,0.0,0.0,0.0,238.0,514.3333333333334,0,12,9,2856,4629,Benign
192.168.43.3,192.168.43.1,33664,53,17,2021-05-31 22:19:19,53276.777267456055,4335.847846808587,37.539808197476944,18.769904098738472,18.769904098738472,1,1,97,134,97.0,97.0,97.0,0.0,134.0,134.0,134.0,0.0,134,97,115.5,18.5,342.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,115.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,134.0,0,1,1,97,134,Benign
192.168.43.3,192.168.43.1,48255,53,17,2021-05-31 22:19:19,52844.28596496582,5222.8920300480495,37.84704369600036,18.92352184800018,18.92352184800018,1,1,97,179,97.0,97.0,97.0,0.0,179.0,179.0,179.0,0.0,179,97,138.0,41.0,1681.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,138.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,179.0,0,1,1,97,179,Benign
192.168.43.3,192.168.43.1,45457,53,17,2021-05-31 22:19:19,2513.885498046875,77171.37481031867,795.5811836115327,397.7905918057663,397.7905918057663,1,1,97,97,97.0,97.0,97.0,0.0,97.0,97.0,97.0,0.0,97,97,97.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0,1,1,97,97,Benign
192.168.43.3,111.221.29.254,40104,443,6,2021-05-31 22:19:19,1205615.758895874,6511.195579584311,17.418484989970768,9.95341999426901,7.465064995701758,12,9,3221,4629,1414.0,54.0,268.4166666666667,395.8018145346088,1414.0,54.0,514.3333333333334,576.1458148767549,1414,54,373.8095238095238,496.57969379571836,246591.3922902494,240,180,20,5,60280.7879447937,246734.1423034668,38.623809814453125,100518.52758374553,976830.9593200684,246810.4362487793,41.961669921875,88802.81448364258,113284.64393249043,959706.3064575195,247397.18437194824,833.0345153808594,119963.28830718994,115609.32874803743,0,0,0,0,1,0,0,0,0,0,0,0.75,373.8095238095238,64240,2050,246657.8483581543,1852.7507781982422,158316.37382507324,109398.28728540792,246149.06311035156,6605.386734008789,168264.2868586949,102806.6213466935,0.0,0.0,0.0,0.0,0.0,0.0,268.4166666666667,514.3333333333334,0,12,9,3221,4629,Benign
192.168.43.3,192.168.43.1,50833,53,17,2021-05-31 22:19:22,3662.586212158203,52968.03645358677,546.062231480276,273.031115740138,273.031115740138,1,1,97,97,97.0,97.0,97.0,0.0,97.0,97.0,97.0,0.0,97,97,97.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0,1,1,97,97,Benign
192.168.43.3,111.221.29.254,40114,443,6,2021-05-31 22:19:22,1078914.8807525635,7123.824258164713,18.53714352892197,11.122286117353182,7.4148574115687875,12,8,3111,4575,1414.0,54.0,259.25,387.98756960328853,1414.0,54.0,571.875,586.2061150951941,1414,54,384.3,501.23039612537474,251231.91000000006,240,160,20,5,56784.99372381913,238844.1562652588,19.311904907226562,90481.84388998573,872359.037399292,271715.8794403076,19.311904907226562,79305.36703629927,104824.07350735625,875129.9381256104,240926.98097229004,2033.233642578125,125018.5625893729,99240.2928269813,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,384.3,64240,1025,238373.9948272705,185848.71292114258,206284.34419631958,19546.61049589352,238824.84436035156,183693.88580322266,206338.64402770996,18023.383576081476,0.0,0.0,0.0,0.0,0.0,0.0,259.25,571.875,0,12,8,3111,4575,Benign
